full_name,bazi_score,wuge_score,total_score
王悦澳,77,87.2,164.2
王悦迪,64,83.7,147.7
王悦眉,76,86.7,162.7
王悦芝,63,86.7,149.7
王悦广,61.5,77.3,138.8
王悦明,76,80.8,156.8
王悦禹,96,86.7,182.7
王悦万,76.5,77.3,153.8
王悦潍,76,79.8,155.8
王悦纪,61,86.7,147.7
王悦鲜,94,87.2,181.2
王悦泯,76,86.7,162.7
王悦尧,64,83.7,147.7
王悦枝,61,80.8,141.8
王悦琀,79,83.7,162.7
王悦端,61.5,85.6,147.1
王悦改,62,84.0,146.0
王悦呤,61,80.8,141.8
王悦堔,23,93.0,116.0
王悦结,64,83.7,147.7
王悦琰,64,81.2,145.2
王悦杉,62,84.0,146.0
王悦龄,63,91.3,154.3
王悦郡,61.5,85.6,147.1
王悦粟,96,83.7,179.7
王悦惟,99,83.7,182.7
王悦瀾,23,93.0,116.0
王悦嵋,99,83.7,182.7
王悦颖,62,91.1,153.1
王悦娆,76.5,77.3,153.8
王悦淋,79,83.7,162.7
王悦健,63,70.6,133.6
王悦续,95,85.8,180.8
王悦薰,63,91.3,154.3
王悦荔,64,83.7,147.7
王悦黎,61.5,77.3,138.8
王悦伟,98,70.6,168.6
王悦力,64,92.6,156.6
王悦桀,63,86.7,149.7
王悦鹤,78,85.8,163.8
王悦一,98,88.1,186.1
王悦肠,93.5,77.3,170.8
王悦丛,61,79.8,140.8
王悦名,77,86.9,163.9
王悦芽,63,86.7,149.7
王悦蔼,64,90.0,154.0
王悦习,78,70.6,148.6
王悦存,94,86.9,180.9
王悦皓,64,83.7,147.7
王悦浥,23,93.0,116.0
王悦奕,61,86.7,147.7
王悦紈,23,93.0,116.0
王悦钱,94,91.1,185.1
王悦木,61.5,83.6,145.1
王悦晋,63,86.7,149.7
王悦蕴,64,90.0,154.0
王悦政,61,80.8,141.8
王悦婉,98,70.6,168.6
王悦辛,94,84.0,178.0
王悦域,98,70.6,168.6
王悦濒,78,91.3,169.3
王悦又,99,92.6,191.6
王悦物,76,80.8,156.8
王悦勤,64,81.2,145.2
王悦峰,78,86.7,164.7
王悦态,61.5,85.6,147.1
王悦弘,76.5,83.4,159.9
王悦筝,61.5,85.6,147.1
王悦楠,64,81.2,145.2
王悦姹,93,86.7,179.7
王悦羚,63,70.6,133.6
王悦堂,98,70.6,168.6
王悦雲,23,93.0,116.0
王悦娣,63,86.7,149.7
王悦施,93,86.7,179.7
王悦景,64,83.7,147.7
王悦山,99,89.2,188.2
王悦琸,23,93.0,116.0
王悦普,79,83.7,162.7
王悦侯,76,86.7,162.7
王悦聆,63,70.6,133.6
王悦会,79,81.2,160.2
王悦潔,23,93.0,116.0
王悦峻,95,86.7,181.7
王悦痴,61,81.2,142.2
王悦墨,76.5,77.3,153.8
王悦炫,61,86.7,147.7
王悦浣,78,70.6,148.6
王悦菀,61.5,85.6,147.1
王悦旌,95,70.6,165.6
王悦韬,61,81.2,142.2
王悦馒,78,91.3,169.3
王悦巳,64,89.2,153.2
王悦祯,61.5,85.6,147.1
王悦赵,61.5,85.6,147.1
王悦早,94,86.9,180.9
王悦末,76.5,83.4,159.9
王悦飄,23,93.0,116.0
王悦悉,95,70.6,165.6
王悦邵,96,83.7,179.7
王悦煦,96,81.2,177.2
王悦滢,76,81.2,157.2
王悦洲,78,86.7,164.7
王悦甜,63,70.6,133.6
王悦石,93.5,83.4,176.9
王悦橙,62,91.1,153.1
王悦眺,98,70.6,168.6
王悦迅,63,86.7,149.7
王悦含,77,84.0,161.0
王悦谭,61,81.2,142.2
王悦蔓,62,87.2,149.2
王悦增,96.5,77.3,173.8
王悦珴,23,93.0,116.0
王悦锡,94,91.1,185.1
王悦娅,98,70.6,168.6
王悦杜,62,84.0,146.0
王悦鸯,62,91.1,153.1
王悦珺,64,83.7,147.7
